Model,Direction,Method,accuracy,f1,auc
RF,A -> B,Zero-Shot,0.7664835164835165,0.8387096774193549,0.7292862021857924
RF,A -> B,CORAL DA,0.7582417582417582,0.8326996197718631,0.7358777322404372
RF,B -> A,Zero-Shot,0.7092391304347826,0.81195079086116,0.6838709677419355
RF,B -> A,CORAL DA,0.7228260869565217,0.8204225352112676,0.6480006720430107
SVM,A -> B,Zero-Shot,0.7115384615384616,0.7920792079207921,0.7099043715846994
SVM,A -> B,CORAL DA,0.6456043956043956,0.7318087318087318,0.6628073770491802
SVM,B -> A,Zero-Shot,0.7010869565217391,0.7947761194029851,0.6920026881720429
SVM,B -> A,CORAL DA,0.6847826086956522,0.7827715355805244,0.6625336021505377
